datestamp,country_code,marketing_channel,conversions
2014-11-14,gb,Search Engine Ads,143
2014-11-14,gb,Search Engine Results,401
2014-11-14,gb,Travel Search Site,357
2014-11-14,it,Display Ads,172
2014-11-14,it,Search Engine Ads,314
2014-11-14,it,Search Engine Results,505
2014-11-14,us,Display Ads,11819
2014-11-14,us,KAYAK Deals Email,1261
2014-11-14,us,Search Engine Ads,2573
2014-11-14,us,Search Engine Results,9487
2014-11-14,us,Travel Search Site,2
2014-11-15,de,Display Ads,1016
2014-11-15,de,KAYAK Deals Email,20
2014-11-15,de,Search Engine Ads,965
2014-11-15,de,Search Engine Results,812
2014-11-15,es,Display Ads,213
2014-11-15,es,KAYAK Deals Email,3
2014-11-15,es,Search Engine Ads,562
2014-11-15,es,Search Engine Results,828
2014-11-15,fr,Display Ads,268
2014-11-15,fr,KAYAK Deals Email,13
2014-11-15,fr,Search Engine Ads,547
2014-11-15,fr,Search Engine Results,707
2014-11-15,gb,Display Ads,178
2014-11-15,gb,KAYAK Deals Email,3
2014-11-15,gb,Search Engine Ads,128
2014-11-15,gb,Search Engine Results,349
2014-11-15,gb,Travel Search Site,363
2014-11-15,it,Display Ads,190
2014-11-15,it,KAYAK Deals Email,23
2014-11-15,it,Search Engine Ads,307
2014-11-15,it,Search Engine Results,475
2014-11-15,us,Display Ads,8975
2014-11-15,us,KAYAK Deals Email,1009
2014-11-15,us,Search Engine Ads,2079
2014-11-15,us,Search Engine Results,7790
2014-11-15,us,Travel Search Site,2
2014-11-16,de,Display Ads,1577
2014-11-16,de,KAYAK Deals Email,10
2014-11-16,de,Search Engine Ads,1713
2014-11-16,de,Search Engine Results,1470
2014-11-16,es,Display Ads,349
2014-11-16,es,KAYAK Deals Email,10
2014-11-16,es,Search Engine Ads,1050
2014-11-16,es,Search Engine Results,1531
2014-11-16,fr,Display Ads,279
2014-11-16,fr,KAYAK Deals Email,13
2014-11-16,fr,Search Engine Ads,671
2014-11-16,fr,Search Engine Results,964
2014-11-16,gb,Display Ads,283
2014-11-16,gb,KAYAK Deals Email,13
2014-11-16,gb,Search Engine Ads,133
2014-11-16,gb,Search Engine Results,499
2014-11-16,gb,Travel Search Site,280
2014-11-16,it,Display Ads,232
2014-11-16,it,KAYAK Deals Email,13
2014-11-16,it,Search Engine Ads,504
2014-11-16,it,Search Engine Results,562
2014-11-16,us,Display Ads,10794
2014-11-16,us,KAYAK Deals Email,605
2014-11-16,us,Search Engine Ads,2718
2014-11-16,us,Search Engine Results,9040
2014-11-16,us,Travel Search Site,2
2014-11-17,de,Display Ads,1526
2014-11-17,de,KAYAK Deals Email,34
2014-11-17,de,Search Engine Ads,1346
2014-11-17,de,Search Engine Results,1307
2014-11-17,es,Display Ads,484
2014-11-17,es,KAYAK Deals Email,3
2014-11-17,es,Search Engine Ads,1235
2014-11-17,es,Search Engine Results,1532
2014-11-17,fr,Display Ads,337
2014-11-17,fr,KAYAK Deals Email,13
2014-11-17,fr,Search Engine Ads,688
2014-11-17,fr,Search Engine Results,941
2014-11-17,gb,Display Ads,338
2014-11-17,gb,KAYAK Deals Email,3
2014-11-17,gb,Search Engine Ads,172
2014-11-17,gb,Search Engine Results,599
2014-11-17,gb,Travel Search Site,327
2014-11-17,it,Display Ads,218
2014-11-17,it,KAYAK Deals Email,10
2014-11-17,it,Search Engine Ads,466
2014-11-17,it,Search Engine Results,774
2014-11-17,us,Display Ads,14202
2014-11-17,us,KAYAK Deals Email,673
2014-11-17,us,Search Engine Ads,3072
2014-11-17,us,Search Engine Results,10492
2014-11-18,de,Display Ads,1522
2014-11-18,de,KAYAK Deals Email,10
2014-11-18,de,Search Engine Ads,1549
2014-11-18,de,Search Engine Results,1416
2014-11-18,es,Display Ads,456
2014-11-18,es,KAYAK Deals Email,6
2014-11-18,es,Search Engine Ads,1123
2014-11-18,es,Search Engine Results,1492
2014-11-18,fr,Display Ads,293
2014-11-18,fr,KAYAK Deals Email,10
